Type_logement,Nombre_pieces,Etages, Surface_Reelle, Annee_Construction, DP_consommation_reelle
"T4,""4"",""02"",""86"",""1979"",""183"""
"T4,""4"",""04"",""86"",""1979"",""183"""
"T4,""4"",""03"",""86"",""1979"",""183"""
"T2,""2"",""00"",""53"",""1979"",""183"""
"T2,""2"",""01"",""55"",""1979"",""183"""
"T3,""3"",""00"",""74"",""1979"",""183"""
"T3,""3"",""03"",""74"",""1979"",""183"""
"T4,""4"",""01"",""86"",""1979"",""183"""
"T4,""4"",""06"",""86"",""1979"",""183"""
"T3,""3"",""00"",""74"",""1979"",""183"""
"T3,""3"",""05"",""74"",""1979"",""183"""
"T3,""3"",""01"",""74"",""1979"",""183"""
"T2,""2"",""03"",""67"",""1979"",""183"""
"T4,""4"",""05"",""86"",""1979"",""183"""
"T3,""3"",""04"",""74"",""1979"",""183"""
"T3,""3"",""05"",""74"",""1979"",""183"""
"T3,""3"",""04"",""74"",""1979"",""183"""
"T2,""2"",""04"",""67"",""1979"",""183"""
"T4,""4"",""00"",""86"",""1979"",""183"""
"T2,""2"",""06"",""67"",""1979"",""183"""
"T2,""2"",""05"",""55"",""1979"",""183"""
"T4,""4"",""06"",""86"",""1979"",""183"""
"T2,""2"",""04"",""55"",""1979"",""183"""
"T2,""2"",""03"",""55"",""1979"",""183"""
"T2,""2"",""02"",""55"",""1979"",""183"""
"T3,""3"",""01"",""74"",""1980"",""183"""
"T2,""2"",""04"",""56"",""1980"",""183"""
"T2,""2"",""02"",""56"",""1980"",""183"""
"T4,""4"",""04"",""86"",""1980"",""183"""
"T4,""4"",""00"",""86"",""1980"",""183"""
"T2,""2"",""01"",""56"",""1980"",""183"""
"T4,""4"",""01"",""86"",""1980"",""183"""
"T3,""3"",""05"",""74"",""1980"",""183"""
"T4,""4"",""02"",""86"",""1980"",""183"""
"T4,""4"",""03"",""86"",""1980"",""183"""
"T4,""4"",""05"",""86"",""1980"",""183"""
"T3,""3"",""01"",""74"",""1980"",""183"""
"T3,""3"",""03"",""74"",""1980"",""183"""
"T2,""2"",""05"",""56"",""1980"",""183"""
"T2,""2"",""02"",""56"",""1980"",""183"""
"T3,""3"",""05"",""74"",""1980"",""183"""
"T3,""3"",""04"",""74"",""1980"",""183"""
"T4,""4"",""05"",""86"",""1980"",""183"""
"T4,""4"",""04"",""86"",""1980"",""183"""
"T4,""4"",""02"",""86"",""1980"",""183"""
"T4,""4"",""00"",""86"",""1980"",""183"""
